"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 19 11:39:45 MSK 2021","Tue Oct 19 11:39:47 MSK 2021","2336","","test_product_page","TestCase","","","test_guest_should_see_login_link_on_product_page",""
"passed","Tue Oct 19 11:39:08 MSK 2021","Tue Oct 19 11:39:12 MSK 2021","4105","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[9]",""
"skipped","Tue Oct 19 11:39:16 MSK 2021","Tue Oct 19 11:39:21 MSK 2021","4728","","test_product_page","TestCase","","","test_guest_cant_see_success_message_after_adding_product_to_cart",""
"passed","Tue Oct 19 11:39:24 MSK 2021","Tue Oct 19 11:39:31 MSK 2021","6963","","test_product_page","TestCase","","","test_guest_cant_see_success_message_by_default",""
"passed","Tue Oct 19 11:38:31 MSK 2021","Tue Oct 19 11:38:34 MSK 2021","3553","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[4]",""
"passed","Tue Oct 19 11:38:01 MSK 2021","Tue Oct 19 11:38:06 MSK 2021","4425","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[0]",""
"skipped","Tue Oct 19 11:38:53 MSK 2021","Tue Oct 19 11:38:57 MSK 2021","4024","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[7]",""
"passed","Tue Oct 19 11:38:24 MSK 2021","Tue Oct 19 11:38:27 MSK 2021","3400","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[3]",""
"passed","Tue Oct 19 11:39:57 MSK 2021","Tue Oct 19 11:40:03 MSK 2021","6353","","test_product_page","TestCase","","","test_guest_cant_see_product_in_cart_opened_from_product_page",""
"skipped","Tue Oct 19 11:39:35 MSK 2021","Tue Oct 19 11:39:41 MSK 2021","6818","","test_product_page","TestCase","","","test_message_disappeared_after_adding_product_to_cart",""
"passed","Tue Oct 19 11:39:01 MSK 2021","Tue Oct 19 11:39:05 MSK 2021","4094","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[8]",""
"passed","Tue Oct 19 11:40:16 MSK 2021","Tue Oct 19 11:40:22 MSK 2021","5055","","test_product_page","TestUserAddToCartFromProductPage","","","test_user_cant_see_success_message_by_default",""
"passed","Tue Oct 19 11:39:51 MSK 2021","Tue Oct 19 11:39:53 MSK 2021","2552","","test_product_page","TestCase","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Tue Oct 19 11:38:46 MSK 2021","Tue Oct 19 11:38:50 MSK 2021","3887","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[6]",""
"passed","Tue Oct 19 11:40:34 MSK 2021","Tue Oct 19 11:40:37 MSK 2021","2864","","test_product_page","TestUserAddToCartFromProductPage","","","test_user_can_add_product_to_cart",""
"passed","Tue Oct 19 11:38:16 MSK 2021","Tue Oct 19 11:38:20 MSK 2021","3782","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[2]",""
"passed","Tue Oct 19 11:38:38 MSK 2021","Tue Oct 19 11:38:42 MSK 2021","4417","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[5]",""
"passed","Tue Oct 19 11:38:09 MSK 2021","Tue Oct 19 11:38:13 MSK 2021","3673","","test_product_page","TestCase","","","test_guest_can_add_product_to_cart[1]",""
